B19013_001E,state,zipcode,state_code
43056,Pennsylvania,17953,42
64430,Pennsylvania,17025,42
22790,Pennsylvania,19140,42
55250,Pennsylvania,17009,42
-666666666,Pennsylvania,17010,42
72219,Pennsylvania,17033,42
48832,Pennsylvania,17044,42
63750,Pennsylvania,17829,42
47833,Pennsylvania,17832,42
71667,Pennsylvania,17835,42
54766,Pennsylvania,17845,42
89167,Pennsylvania,17861,42
37352,Pennsylvania,17866,42
58913,Pennsylvania,17929,42
55179,Pennsylvania,17002,42
55139,Pennsylvania,17005,42
52778,Pennsylvania,17006,42
66295,Pennsylvania,17020,42
51948,Pennsylvania,17035,42
55227,Pennsylvania,17047,42
55114,Pennsylvania,17061,42
56118,Pennsylvania,17065,42
68571,Pennsylvania,17087,42
38115,Pennsylvania,17104,42
49028,Pennsylvania,17213,42
39154,Pennsylvania,17214,42
64219,Pennsylvania,17215,42
64897,Pennsylvania,17222,42
74440,Pennsylvania,17225,42
65066,Pennsylvania,17302,42
72656,Pennsylvania,17340,42
67188,Pennsylvania,17355,42
53852,Pennsylvania,17403,42
71477,Pennsylvania,17516,42
89358,Pennsylvania,17538,42
65338,Pennsylvania,17554,42
61142,Pennsylvania,17557,42
86726,Pennsylvania,17565,42
84013,Pennsylvania,17569,42
74925,Pennsylvania,17601,42
56381,Pennsylvania,17602,42
45741,Pennsylvania,17721,42
76250,Pennsylvania,17739,42
50526,Pennsylvania,17758,42
56125,Pennsylvania,17810,42
60568,Pennsylvania,17823,42
45382,Pennsylvania,17887,42
51090,Pennsylvania,17921,42
60048,Pennsylvania,17923,42
118864,Pennsylvania,17933,42
34330,Pennsylvania,17935,42
51750,Pennsylvania,17959,42
67708,Pennsylvania,17960,42
61206,Pennsylvania,17972,42
48750,Pennsylvania,17965,42
39306,Pennsylvania,17978,42
57978,Pennsylvania,17820,42
50694,Pennsylvania,17776,42
43542,Pennsylvania,17812,42
46875,Pennsylvania,17311,42
77015,Pennsylvania,17314,42
59650,Pennsylvania,17090,42
57656,Pennsylvania,17265,42
56890,Pennsylvania,17028,42
62529,Pennsylvania,17067,42
55833,Pennsylvania,17228,42
39120,Pennsylvania,17886,42
48289,Pennsylvania,17964,42
-666666666,Pennsylvania,17083,42
42813,Pennsylvania,17221,42
77593,Pennsylvania,17327,42
68788,Pennsylvania,17509,42
60000,Pennsylvania,17762,42
71853,Pennsylvania,17860,42
35268,Pennsylvania,17764,42
54194,Pennsylvania,17814,42
58854,Pennsylvania,17830,42
70701,Pennsylvania,17938,42
58563,Pennsylvania,17985,42
51859,Pennsylvania,17744,42
65197,Pennsylvania,17868,42
60184,Pennsylvania,17980,42
79137,Pennsylvania,17015,42
60714,Pennsylvania,17030,42
-666666666,Pennsylvania,17039,42
93552,Pennsylvania,17050,42
-666666666,Pennsylvania,17056,42
66250,Pennsylvania,17071,42
-666666666,Pennsylvania,17120,42
78385,Pennsylvania,17202,42
-666666666,Pennsylvania,17210,42
69000,Pennsylvania,17217,42
71250,Pennsylvania,17246,42
41417,Pennsylvania,17247,42
-666666666,Pennsylvania,17250,42
84500,Pennsylvania,17251,42
-666666666,Pennsylvania,17256,42
-666666666,Pennsylvania,17261,42
65515,Pennsylvania,17263,42
-666666666,Pennsylvania,17272,42
74792,Pennsylvania,17371,42
69728,Pennsylvania,17408,42
-666666666,Pennsylvania,17507,42
-666666666,Pennsylvania,17550,42
-666666666,Pennsylvania,17606,42
38594,Pennsylvania,17723,42
44375,Pennsylvania,17727,42
-666666666,Pennsylvania,17779,42
-666666666,Pennsylvania,17822,42
47946,Pennsylvania,17876,42
54375,Pennsylvania,17880,42
58568,Pennsylvania,17268,42
46625,Pennsylvania,17271,42
49583,Pennsylvania,17094,42
44863,Pennsylvania,17102,42
38750,Pennsylvania,17223,42
65750,Pennsylvania,17224,42
66098,Pennsylvania,17236,42
68281,Pennsylvania,17240,42
109111,Pennsylvania,19333,42
103203,Pennsylvania,19341,42
66009,Pennsylvania,19344,42
139049,Pennsylvania,19350,42
86787,Pennsylvania,19403,42
131331,Pennsylvania,19435,42
-666666666,Pennsylvania,19457,42
53255,Pennsylvania,19137,42
103212,Pennsylvania,19046,42
93547,Pennsylvania,19047,42
101599,Pennsylvania,19063,42
104928,Pennsylvania,19075,42
60694,Pennsylvania,19076,42
63815,Pennsylvania,19015,42
71997,Pennsylvania,19030,42
97415,Pennsylvania,19038,42
51101,Pennsylvania,19136,42
93986,Pennsylvania,19081,42
118320,Pennsylvania,19086,42
107388,Pennsylvania,19106,42
32388,Pennsylvania,19141,42
46540,Pennsylvania,19145,42
-666666666,Pennsylvania,19367,42
66250,Pennsylvania,19374,42
175278,Pennsylvania,19437,42
119189,Pennsylvania,19444,42
87158,Pennsylvania,19446,42
61865,Pennsylvania,19453,42
89953,Pennsylvania,19465,42
-666666666,Pennsylvania,19519,42
76615,Pennsylvania,19610,42
79907,Pennsylvania,19609,42
95128,Pennsylvania,19454,42
97635,Pennsylvania,19462,42
62956,Pennsylvania,19464,42
110041,Pennsylvania,19002,42
92550,Pennsylvania,19510,42
83575,Pennsylvania,19506,42
69063,Pennsylvania,19507,42
77885,Pennsylvania,19522,42
61161,Pennsylvania,19526,42
77532,Pennsylvania,19551,42
51711,Pennsylvania,19554,42
38450,Pennsylvania,19604,42
81519,Pennsylvania,19147,42
37768,Pennsylvania,17862,42
62455,Pennsylvania,17244,42
67140,Pennsylvania,17870,42
47500,Pennsylvania,17920,42
55625,Pennsylvania,17925,42
56739,Pennsylvania,17551,42
68042,Pennsylvania,17552,42
-666666666,Pennsylvania,17570,42
-666666666,Pennsylvania,17576,42
-666666666,Pennsylvania,17730,42
61806,Pennsylvania,17749,42
-666666666,Pennsylvania,17750,42
67676,Pennsylvania,17754,42
60506,Pennsylvania,17756,42
53125,Pennsylvania,17768,42
54531,Pennsylvania,17774,42
50272,Pennsylvania,17815,42
62583,Pennsylvania,17827,42
63869,Pennsylvania,17837,42
54073,Pennsylvania,17846,42
53811,Pennsylvania,17847,42
56125,Pennsylvania,17853,42
63421,Pennsylvania,17878,42
45703,Pennsylvania,17884,42
40208,Pennsylvania,17888,42
84688,Pennsylvania,17945,42
81892,Pennsylvania,17339,42
66100,Pennsylvania,17406,42
81402,Pennsylvania,17502,42
74671,Pennsylvania,17532,42
64977,Pennsylvania,17540,42
72813,Pennsylvania,17543,42
79250,Pennsylvania,17584,42
45779,Pennsylvania,17701,42
56163,Pennsylvania,17702,42
47131,Pennsylvania,17724,42
62328,Pennsylvania,17728,42
28750,Pennsylvania,17729,42
58690,Pennsylvania,17771,42
55625,Pennsylvania,17813,42
55456,Pennsylvania,17842,42
54034,Pennsylvania,17850,42
62609,Pennsylvania,17856,42
59353,Pennsylvania,17857,42
53227,Pennsylvania,17864,42
38125,Pennsylvania,17867,42
46271,Pennsylvania,17901,42
48750,Pennsylvania,17930,42
48906,Pennsylvania,17949,42
31625,Pennsylvania,17954,42
41194,Pennsylvania,17970,42
56765,Pennsylvania,17936,42
58750,Pennsylvania,17944,42
45500,Pennsylvania,17952,42
46071,Pennsylvania,17982,42
61250,Pennsylvania,17983,42
80202,Pennsylvania,17946,42
68000,Pennsylvania,17957,42
72083,Pennsylvania,17968,42
70236,Pennsylvania,17003,42
-666666666,Pennsylvania,17254,42
50208,Pennsylvania,17255,42
55228,Pennsylvania,17257,42
54018,Pennsylvania,17262,42
76014,Pennsylvania,17304,42
67000,Pennsylvania,17307,42
68958,Pennsylvania,17317,42
63867,Pennsylvania,17325,42
52857,Pennsylvania,17344,42
59722,Pennsylvania,17345,42
67102,Pennsylvania,17352,42
46065,Pennsylvania,17004,42
52000,Pennsylvania,17080,42
57963,Pennsylvania,17084,42
83881,Pennsylvania,17360,42
79238,Pennsylvania,17361,42
68875,Pennsylvania,17366,42
72841,Pennsylvania,17370,42
65999,Pennsylvania,17545,42
68614,Pennsylvania,17562,42
66378,Pennsylvania,17566,42
55067,Pennsylvania,17603,42
60226,Pennsylvania,17737,42
80208,Pennsylvania,17016,42
77236,Pennsylvania,17019,42
76076,Pennsylvania,17024,42
74570,Pennsylvania,17027,42
42222,Pennsylvania,17034,42
159167,Pennsylvania,17041,42
69583,Pennsylvania,17086,42
78750,Pennsylvania,17088,42
52886,Pennsylvania,17109,42
52500,Pennsylvania,17201,42
42857,Pennsylvania,17021,42
63950,Pennsylvania,17038,42
69250,Pennsylvania,17049,42
62551,Pennsylvania,17057,42
44974,Pennsylvania,17058,42
44706,Pennsylvania,17060,42
-666666666,Pennsylvania,17076,42
39135,Pennsylvania,17081,42
